ALABAMA	14269
Autauga, AL	107
Baldwin, AL	180
Barbour, AL	30
Bibb, AL	22
Blount, AL	105
Bullock, AL	1
Butler, AL	46
Calhoun, AL	368
Chambers, AL	33
Cherokee, AL	20
Chilton, AL	32
Choctaw, AL	3
Clarke, AL	20
Clay, AL	14
Cleburne, AL	55
Coffee, AL	44
Colbert, AL	82
Conecuh, AL	8
Coosa, AL	19
Covington, AL	32
Crenshaw, AL	19
Cullman, AL	219
Dale, AL	80
Dallas, AL	219
DeKalb, AL	19
Elmore, AL	80
Escambia, AL	41
Etowah, AL	299
Fayette, AL	42
Franklin, AL	20
Geneva, AL	37
Greene, AL	21
Hale, AL	24
Henry, AL	27
Houston, AL	178
Jackson, AL	170
Jefferson, AL	4008
Lamar, AL	10
Lauderdale, AL	88
Lawrence, AL	42
Lee, AL	199
Limestone, AL	83
Lowndes, AL	56
Macon, AL	47
Madison, AL	1146
Marengo, AL	24
Marion, AL	36
Marshall, AL	207
Mobile, AL	1913
Monroe, AL	42
Montgomery, AL	1860
Morgan, AL	213
Perry, AL	22
Pickens, AL	11
Pike, AL	70
Randolph, AL	37
Russell, AL	105
St. Clair, AL	84
Shelby, AL	177
Sumter, AL	12
Talladega, AL	169
Tallapoosa, AL	45
Tuscaloosa, AL	546
Walker, AL	249
Washington, AL	25
Wilcox, AL	12
Winston, AL	15
ALASKA	2405
Aleutians East, AK	0
Aleutians West, AK	6
Anchorage, AK	1219
Bethel, AK	141
Bristol Bay, AK	12
Denali, AK	0
Dillingham, AK	6
Fairbanks North Star, AK	146
Haines, AK	2
Hoonah-Angoon, AK	1
Juneau, AK	32
Kenai Peninsula, AK	84
Ketchikan Gateway, AK	32
Kodiak Island, AK	19
Lake and Peninsula, AK	0
Matanuska-Susitna, AK	56
Nome, AK	0
North Slope, AK	32
Northwest Arctic, AK	3
Petersburg, AK	8
Prince of Wales-Hyder, AK	3
Sitka, AK	32
Skagway, AK	0
Southeast Fairbanks, AK	0
Valdez-Cordova, AK	2
Wade Hampton, AK	0
Wrangell, AK	0
Yakutat, AK	0
Yukon-Koyukuk, AK	0
ARIZONA	56219
Apache, AZ	28
Cochise, AZ	475
Coconino, AZ	296
Gila, AZ	113
Graham, AZ	47
Greenlee, AZ	0
La Paz, AZ	45
Maricopa, AZ	43317
Mohave, AZ	756
Navajo, AZ	119
Pima, AZ	8438
Pinal, AZ	1186
Santa Cruz, AZ	182
Yavapai, AZ	493
Yuma, AZ	724
ARKANSAS	5446
Arkansas, AR	14
Ashley, AR	30
Baxter, AR	42
Benton, AR	163
Boone, AR	23
Bradley, AR	1
Calhoun, AR	0
Carroll, AR	33
Chicot, AR	8
Clark, AR	10
Clay, AR	9
Cleburne, AR	17
Cleveland, AR	14
Columbia, AR	30
Conway, AR	18
Craighead, AR	182
Crawford, AR	45
Crittenden, AR	68
Cross, AR	30
Dallas, AR	2
Desha, AR	17
Drew, AR	8
Faulkner, AR	163
Franklin, AR	3
Fulton, AR	2
Garland, AR	231
Grant, AR	2
Greene, AR	53
Hempstead, AR	47
Hot Spring, AR	36
Howard, AR	2
Independence, AR	44
Izard, AR	10
Jackson, AR	55
Jefferson, AR	410
Johnson, AR	4
Lafayette, AR	1
